branch,profile,gate_status,runs,targets,null_surrogates,mean_significant_capacity,ci95_low,ci95_high,git_commit,config_hash,source
CV,smoke,PASS_SMOKE,2,20,20,0.0,0.0,0.0,b02ed4afa88fda209796e2a6b592b8b031aa020c,b460f3659d5a4b5cbb6f220e7ccedabb3eb0e1513f2fb2b864fb14a1b910277d,results/calibration/ipc_smoke
CV,calibration,PASS_CALIBRATION,4,20,399,2.7351541492397162,2.701899913019984,2.7705167435178493,b02ed4afa88fda209796e2a6b592b8b031aa020c,600bb86dbe6bf94ed5b6b21cd058856b4c369dc286477a058b34cca2482c4693,results/calibration/ipc
