boundary_shell_population,channel_metric_scope,delayed_memory_score,final_trace_distance_after_input_perturbation,interaction,maximum_supported_photon_number,mean_photon_number,minimum_eigenvalue,retained_input_norm,signed_distance_to_boundary,trace
2.319687670732889e-06,empirical trace-distance fading only,0.0,0.0019646403692656824,0.0,3.0,0.014464594711118023,1.3985403242239115e-07,1.0,-0.8591329305249669,1.0
1.0773477705547986e-06,empirical trace-distance fading only,0.0,0.001958153611090637,1.0,3.0,0.014437711835931618,9.195358436179062e-08,0.9999999999999998,0.14086706947503314,1.0
3.171050154986603e-08,empirical trace-distance fading only,0.0,0.0019380396759299853,4.0,3.0,0.01432699571993448,9.181900581075074e-09,0.9999999999999998,-1.0514647481350154,1.0
2.647797776244418e-08,empirical trace-distance fading only,0.0,0.0019345154205858551,8.0,3.0,0.014302517780232372,7.298271964368488e-09,1.0,2.9485352518649846,1.0
