interaction,mean_spacing_ratio,spacing_ratio_ci95,hilbert_dimension,signed_distance_to_nearest_boundary
0.0,0.3271869309700625,"[0.18301270189221897, 0.47136116004790596]",35,-0.8591329305249669
0.5,0.36819396448018615,"[0.2757957862776034, 0.4546530050302578]",35,-0.35913293052496686
1.0,0.49392183269295054,"[0.3924743858477029, 0.6085799724823612]",35,0.14086706947503314
2.0,0.49203693456570996,"[0.401020118974728, 0.6056277466635894]",35,1.1408670694750331
4.0,0.48867184932717495,"[0.3661236419040069, 0.6045284887626028]",35,1.0514647481350154
8.0,0.3738915891969487,"[0.2894663464680019, 0.4541322679474998]",35,-2.9485352518649846
