capacity,data_seed,degree,fdr_significant,interaction_order,max_statistic_significant,maximum_delay,measurement_seed,model,null_95_threshold,p_value,reservoir_seed,ridge_capacity,ridge_p_value,ridge_test_r2,selected_alpha,significant_capacity,squared_correlation,target_variance,task_multi_index,test_r2
0.0,211,2,False,1,False,4,7001,cv_qrc,0.004308500691827186,1.0,7,0.0,1.0,-0.0027573358863914876,100.0,0.0,1.2388035486536602e-05,0.90323221557329,"[0, 0, 0, 0, 2]",-0.0075726828419826475
0.0,211,2,False,2,False,1,7001,cv_qrc,0.0068723363717697675,1.0,11,0.0,1.0,-0.004766630370857561,100.0,0.0,0.002780963061200187,0.9632126851349044,"[1, 1, 0, 0, 0]",-0.016270346847490957
0.0,211,2,False,2,False,1,7001,cv_qrc,0.00764261183728797,1.0,7,0.0,1.0,-0.004407876304152403,100.0,0.0,0.005709918939240626,0.9632126851349044,"[1, 1, 0, 0, 0]",-0.002258810084913243
0.0,211,2,False,2,False,2,7001,cv_qrc,0.004452889018648161,1.0,11,0.0,1.0,-0.028097173887585924,100.0,0.0,0.010708785965285803,0.9649543828214924,"[0, 1, 1, 0, 0]",-0.03662107391598246
0.0,211,2,False,2,False,2,7001,cv_qrc,0.005021710169072116,1.0,11,0.0,1.0,-0.020180733834078035,100.0,0.0,0.014593200482496276,0.9015564009555755,"[1, 0, 1, 0, 0]",-0.03874205663042285
0.0,211,2,False,2,False,2,7001,cv_qrc,0.005317645660723013,1.0,7,0.0,1.0,-0.03616375801946492,100.0,0.0,0.0021488636792597483,0.9649543828214924,"[0, 1, 1, 0, 0]",-0.06798249608771423
0.0,211,2,False,2,False,2,7001,cv_qrc,0.005487883750299003,1.0,7,0.0,1.0,-0.011812930087490958,100.0,0.0,0.000126630016377573,0.9015564009555755,"[1, 0, 1, 0, 0]",-0.018171236612553265
0.0,211,2,False,2,False,3,7001,cv_qrc,0.0031396352091116633,1.0,11,0.0,1.0,-0.02251552511647814,100.0,0.0,0.010716547980954706,0.9651953421637551,"[0, 0, 1, 1, 0]",-0.039446214095962606
0.0,211,2,False,2,False,3,7001,cv_qrc,0.0034176597436263176,1.0,7,0.0,1.0,-0.01906764102484182,100.0,0.0,0.003966014277851274,0.9651953421637551,"[0, 0, 1, 1, 0]",-0.03722157524586245
0.0,211,2,False,2,False,3,7001,cv_qrc,0.004005103006835108,1.0,11,0.0,1.0,-0.016000742242923804,100.0,0.0,8.249525805077614e-05,0.8953634273351566,"[0, 1, 0, 1, 0]",-0.03086307272498434
0.0,211,2,False,2,False,3,7001,cv_qrc,0.004022217565365289,1.0,11,0.0,1.0,-0.033064132884623065,100.0,0.0,2.7189202094692716e-05,0.9524672454597609,"[1, 0, 0, 1, 0]",-0.03678819376149001
0.0,211,2,False,2,False,3,7001,cv_qrc,0.005673898669239456,1.0,7,0.0,1.0,-0.028155429958213407,100.0,0.0,0.00020877891308705395,0.9524672454597609,"[1, 0, 0, 1, 0]",-0.03519632052238686
0.0,211,2,False,2,False,3,7001,cv_qrc,0.006606468273952846,1.0,7,0.0,1.0,-0.01431936765377384,100.0,0.0,0.0007982825129283533,0.8953634273351566,"[0, 1, 0, 1, 0]",-0.029719558420699288
0.0,211,2,False,2,False,4,7001,cv_qrc,0.003200800210957317,1.0,7,0.0,1.0,-0.05887586141495649,100.0,0.0,1.1393913578529274e-06,0.9067131476261955,"[1, 0, 0, 0, 1]",-0.08391860911299065
0.0,211,2,False,2,False,4,7001,cv_qrc,0.003349594508751108,1.0,7,0.0,1.0,-0.02839690112496074,100.0,0.0,0.008323850547618519,0.8953924885781847,"[0, 0, 1, 0, 1]",-0.049323058588611746
0.0,211,2,False,2,False,4,7001,cv_qrc,0.004184150250402605,1.0,7,0.0,1.0,-0.0283703032256164,100.0,0.0,0.0009555993726850118,0.9395774854793127,"[0, 1, 0, 0, 1]",-0.03172438210477657
0.0,211,2,False,2,False,4,7001,cv_qrc,0.0054111119565626135,1.0,11,0.0,1.0,-0.010164914146893356,1e-10,0.0,0.002071053782462527,0.8953924885781847,"[0, 0, 1, 0, 1]",-0.010164914146896242
0.0,211,2,False,2,False,4,7001,cv_qrc,0.0054929636286726695,1.0,11,0.0,1.0,-0.003298296281690538,100.0,0.0,0.0037267053817227,0.945110256584633,"[0, 0, 0, 1, 1]",-0.0015425892014340192
0.0,211,2,False,2,False,4,7001,cv_qrc,0.005493426340414635,1.0,11,0.0,1.0,-0.056345068473132365,100.0,0.0,3.495444562294592e-05,0.9067131476261955,"[1, 0, 0, 0, 1]",-0.07174066274850932
0.0,211,2,False,2,False,4,7001,cv_qrc,0.005997175142181197,1.0,11,0.0,1.0,-0.03877421180802676,100.0,0.0,0.0031892965586677612,0.9395774854793127,"[0, 1, 0, 0, 1]",-0.05981099859829064
0.0,211,2,False,2,False,4,7001,cv_qrc,0.008112720505245292,1.0,7,0.0,1.0,-0.013313019568114148,100.0,0.0,2.2281855376985214e-05,0.945110256584633,"[0, 0, 0, 1, 1]",-0.019973366127753023
0.0014168599455451902,101,2,False,1,False,4,7001,cv_qrc,0.006239326366385674,0.0975,7,0.0014168599455520736,0.12,0.0014168599455520736,1e-10,0.0,0.0039897842769254675,1.0291809122360802,"[0, 0, 0, 0, 2]",0.0014168599455451902
0.001632665260952848,211,1,False,1,False,2,7001,cv_qrc,0.006750458316212919,0.1025,7,0.001632665260952515,0.1175,0.001632665260952515,1e-10,0.0,0.0018145065644413372,0.9813500281283655,"[0, 0, 1, 0, 0]",0.001632665260952848
0.002032977560745164,101,2,False,2,False,4,7001,cv_qrc,0.005747686232822541,0.105,7,0.0012372937629918646,0.1075,0.0012372937629918646,100.0,0.0,0.006393257588727016,1.0963150268790598,"[1, 0, 0, 0, 1]",0.002032977560745164
0.002206886622434845,101,1,False,1,False,3,7001,cv_qrc,0.004315560160670392,0.08,11,0.004433979869221449,0.05,0.004433979869221449,10.0,0.0,0.011916057522381146,1.041967841363236,"[0, 0, 0, 1, 0]",0.002206886622434845
0.0024108635850957905,101,2,False,2,False,3,7001,cv_qrc,0.005830299603267934,0.0725,7,0.007956388593652886,0.0275,0.007956388593652886,100.0,0.0,0.010058839918158162,1.014325467904608,"[1, 0, 0, 1, 0]",0.0024108635850957905
0.0027225409592724903,101,2,False,1,False,4,7001,cv_qrc,0.0066050666113193985,0.0925,11,0.0018210058789366323,0.12,0.0018210058789366323,100.0,0.0,0.005019325726662233,1.0291809122360802,"[0, 0, 0, 0, 2]",0.0027225409592724903
0.003311240546187477,101,2,False,2,False,3,7001,cv_qrc,0.005432543335016059,0.0675,11,0.0004726399729999553,0.1325,0.0004726399729999553,100.0,0.0,0.011954136969099924,1.0817565181074487,"[0, 1, 0, 1, 0]",0.003311240546187477
0.004473191940169818,211,2,False,1,False,4,7001,cv_qrc,0.006289559961472544,0.0675,11,0.010211063529239395,0.0175,0.010211063529239395,100.0,0.0,0.010784137794742148,0.90323221557329,"[0, 0, 0, 0, 2]",0.004473191940169818
0.004623004891212479,101,2,False,2,False,2,7001,cv_qrc,0.005808735689155741,0.0675,7,0.004285456575320423,0.0675,0.004285456575320423,100.0,0.0,0.010552003068550636,1.1115723252043574,"[0, 1, 1, 0, 0]",0.004623004891212479
0.00505907442238962,101,2,False,1,False,3,7001,cv_qrc,0.006010982697654724,0.06,11,0.009628479707254667,0.0225,0.009628479707254667,100.0,0.0,0.00944754150709236,1.0249548255491223,"[0, 0, 0, 2, 0]",0.00505907442238962
0.006153331938181461,211,2,False,1,False,1,7001,cv_qrc,0.00283259805112511,0.025,11,0.007931849434338556,0.02,0.007931849434338556,100.0,0.0,0.009295290165772746,0.9254671734351508,"[0, 2, 0, 0, 0]",0.006153331938181461
0.006839262169117233,211,2,False,1,False,3,7001,cv_qrc,0.005574026333910697,0.0375,11,0.01155210477517854,0.0225,0.01155210477517854,100.0,0.0,0.012232365184706266,0.9205615620348913,"[0, 0, 0, 2, 0]",0.006839262169117233
0.007470795785499806,101,2,False,2,False,2,7001,cv_qrc,0.004626975198179066,0.03,11,0.006042374559008135,0.04,0.006042374559008135,100.0,0.0,0.013575253754060478,1.1115723252043574,"[0, 1, 1, 0, 0]",0.007470795785499806
0.008533005083442013,101,2,False,1,False,1,7001,cv_qrc,0.004902233767861882,0.025,11,0.008533005083450007,0.0225,0.008533005083450007,1e-10,0.0,0.010852279107950403,1.0225115832061566,"[0, 2, 0, 0, 0]",0.008533005083442013
0.01511858229704699,101,2,True,2,False,1,7001,cv_qrc,0.00444016696694644,0.01,7,0.015359508973876834,0.0125,0.015359508973876834,100.0,0.01511858229704699,0.020764112860214554,1.1116463571921738,"[1, 1, 0, 0, 0]",0.01511858229704699
0.017266624114791962,101,2,True,2,False,1,7001,cv_qrc,0.004749339621683411,0.01,11,0.0159599695557614,0.0125,0.0159599695557614,100.0,0.017266624114791962,0.02245207143425194,1.1116463571921738,"[1, 1, 0, 0, 0]",0.017266624114791962
0.02956845182402834,101,1,True,1,True,2,7001,cv_qrc,0.004349078579696705,0.005,11,0.03424418230779536,0.0025,0.03424418230779536,10.0,0.02956845182402834,0.04766633888314758,1.0468134088030023,"[0, 0, 1, 0, 0]",0.02956845182402834
0.031996701202761435,101,1,True,1,True,4,7001,cv_qrc,0.004616388872102237,0.005,11,0.019609062001263555,0.005,0.019609062001263555,100.0,0.031996701202761435,0.03669210382536242,1.0392072504653245,"[0, 0, 0, 0, 1]",0.031996701202761435
0.03825715143292563,101,2,True,1,True,3,7001,cv_qrc,0.0031040701827470605,0.0025,7,0.038257151432923076,0.0025,0.038257151432923076,1e-10,0.03825715143292563,0.040890660841756195,1.0249548255491223,"[0, 0, 0, 2, 0]",0.03825715143292563
0.04897117621175329,211,1,True,1,True,2,7001,cv_qrc,0.005967215726574957,0.0025,11,0.052901565225611624,0.0025,0.052901565225611624,10.0,0.04897117621175329,0.055010088285321564,0.9813500281283655,"[0, 0, 1, 0, 0]",0.04897117621175329
0.049916976482554554,101,2,True,1,True,2,7001,cv_qrc,0.005696348885326373,0.0025,7,0.05010420504818858,0.0025,0.05010420504818858,10.0,0.049916976482554554,0.050257410460621176,1.0240113084901472,"[0, 0, 2, 0, 0]",0.049916976482554554
0.051098857016492194,211,1,True,1,True,3,7001,cv_qrc,0.0057054530166104475,0.0025,7,0.05109885701647954,0.0025,0.05109885701647954,1e-10,0.051098857016492194,0.057012671654037776,0.9757431744048177,"[0, 0, 0, 1, 0]",0.051098857016492194
0.42462916641939363,211,1,True,1,True,1,7001,cv_qrc,0.007348742022242336,0.0025,7,0.4246291664193703,0.0025,0.4246291664193703,1e-10,0.42462916641939363,0.4278887935556567,0.9796695947369337,"[0, 1, 0, 0, 0]",0.42462916641939363
0.4409987266438262,101,1,True,1,True,1,7001,cv_qrc,0.008097904429849907,0.0025,7,0.4403282347790246,0.0025,0.4403282347790246,10.0,0.4409987266438262,0.44114072335672305,1.0453863044225216,"[0, 1, 0, 0, 0]",0.4409987266438262
0.6815272545624514,101,1,True,1,True,0,7001,cv_qrc,0.006544021429276902,0.0025,7,0.683898431970166,0.0025,0.683898431970166,10.0,0.6815272545624514,0.6833378326087461,1.045718559857615,"[1, 0, 0, 0, 0]",0.6815272545624514
