capacity,data_seed,degree,fdr_significant,interaction_order,max_statistic_significant,maximum_delay,measurement_seed,model,null_95_threshold,p_value,reservoir_seed,ridge_capacity,ridge_p_value,ridge_test_r2,selected_alpha,significant_capacity,squared_correlation,task_multi_index,test_r2
0.0,211,1,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.30936553518031507,1e-10,0.0,0.0,[1],-0.30936553518031507
0.0,211,2,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.36904748325782677,1e-10,0.0,0.0,[2],-0.36904748325782677
0.0,211,3,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.07042783630065985,1e-10,0.0,0.0,[3],-0.07042783630065985
0.0,211,4,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.013695330540639539,1e-10,0.0,0.0,[4],-0.013695330540639539
0.9999998455700216,211,3,True,1,True,0,13001,reservoir,0.0,0.047619047619047616,13,0.9999994230391758,0.047619047619047616,0.9999994230391758,1e-10,0.9999998455700216,0.999999889431412,[3],0.9999998455700216
0.9999999991855829,211,4,True,1,True,0,13001,reservoir,0.0,0.047619047619047616,13,0.9997593891934092,0.047619047619047616,0.9997593891934092,1e-10,0.9999999991855829,0.999999999248006,[4],0.9999999991855829
0.9999999999553901,211,1,True,1,True,0,13001,reservoir,0.0,0.047619047619047616,13,0.9999999956491936,0.047619047619047616,0.9999999956491936,1e-10,0.9999999999553901,0.9999999999627555,[1],0.9999999999553901
0.999999999999959,211,2,True,1,True,0,13001,reservoir,0.0,0.047619047619047616,13,0.9999997144237928,0.047619047619047616,0.9999997144237928,1e-10,0.999999999999959,0.9999999999999631,[2],0.999999999999959
