reservoir_seed,data_seed,measurement_seed,model,task_multi_index,degree,maximum_delay,interaction_order,raw_capacity,null_threshold,p_value,test_r2,ridge_test_r2,selected_alpha,target_variance,feature_dimension,effective_rank,condition_number,fdr_significant,significant_capacity
7,101,7001,cv_qrc,"[1, 0, 0, 0, 0]",1,0,1,0.6838246156441586,0.010834370206975339,0.047619047619047616,0.682017466975936,0.6822194219232616,1.0,1.0648617741966566,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 1, 0, 0, 0]",1,1,1,0.4390820632619914,0.027197941775791917,0.047619047619047616,0.4375201183847982,0.4378231536953925,1.0,1.0666050078660565,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 0, 1, 0, 0]",1,2,1,0.007200233124760462,0.018841032390091328,0.2857142857142857,0.0013197812102032636,0.005027154000156631,100.0,1.0746411731755898,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 0, 0, 1, 0]",1,3,1,0.011611587340127245,0.02250389095783912,0.19047619047619047,0.006208369876808173,0.006208369876818387,1e-10,1.0644295472966396,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 0, 0, 0, 1]",1,4,1,0.00170025238155939,0.08050771543451796,0.7142857142857143,-0.005486681417249617,-0.001647400292142942,100.0,1.0707318102357257,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[2, 0, 0, 0, 0]",2,0,1,0.8003005133342029,0.008883595433722472,0.047619047619047616,0.7997527983520509,0.7997076899556392,1.0,1.0557430680180422,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 2, 0, 0, 0]",2,1,1,0.7976271236769907,0.010717862267497196,0.047619047619047616,0.7971175038976577,0.796984987122584,1.0,1.055318205109753,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[1, 1, 0, 0, 0]",2,1,2,0.0006683029835315241,0.015979442026635957,0.7619047619047619,-0.0020921313053581247,-0.0012736096854155665,100.0,1.1358543697795724,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 0, 2, 0, 0]",2,2,1,0.069458855672309,0.013764034807665308,0.047619047619047616,0.0666562852086493,0.0666562852086301,1e-10,1.0525221981341868,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 1, 1, 0, 0]",2,2,2,0.015545023856636904,0.03111394475288387,0.19047619047619047,0.013971284057095135,0.01375809914755255,100.0,1.1439061039463525,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[1, 0, 1, 0, 0]",2,2,2,0.03228421837933679,0.015135403362915623,0.047619047619047616,0.025310763957918536,0.017583374076116542,100.0,1.1629110958250788,3,3,2.5537182613334037,False,0.0
7,101,7001,cv_qrc,"[0, 0, 0, 2, 0]",2,3,1,0.03970448234817823,0.013790126555527284,0.047619047619047616,0.03546466225565392,0.035464662255649926,1e-10,1.057756836270362,3,3,2.5537182613334037,False,0.0
11,101,7001,cv_qrc,"[1, 0, 0, 0, 0]",1,0,1,0.7941875692353522,0.01679374443480394,0.047619047619047616,0.7919144406583625,0.7914736129722524,1.0,1.0648617741966566,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 1, 0, 0, 0]",1,1,1,0.8675287612626955,0.024081457395518778,0.047619047619047616,0.8645034003632341,0.863556292383981,1.0,1.0666050078660565,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 0, 1, 0, 0]",1,2,1,0.0456346795255683,0.013080070138477094,0.047619047619047616,0.036658543105353436,0.037105225021042854,1.0,1.0746411731755898,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 0, 0, 1, 0]",1,3,1,0.006136210101628649,0.017871912554820582,0.38095238095238093,-0.002861358775779088,-0.002861358775752443,1e-10,1.0644295472966396,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 0, 0, 0, 1]",1,4,1,0.020238182373479303,0.062449713692072265,0.19047619047619047,0.01555532956808836,0.012147164242282349,100.0,1.0707318102357257,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[2, 0, 0, 0, 0]",2,0,1,0.9566284359777912,0.01571544098443897,0.047619047619047616,0.9565360167521476,0.9563702625040515,1.0,1.0557430680180422,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 2, 0, 0, 0]",2,1,1,0.0005513114794036823,0.01613653807775371,0.8571428571428571,-0.03358797076087616,-0.0193851482086842,100.0,1.055318205109753,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[1, 1, 0, 0, 0]",2,1,2,0.0002799785557701807,0.02205715613310097,0.8095238095238095,-0.012304976739402562,-0.002519011619406708,100.0,1.1358543697795724,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 0, 2, 0, 0]",2,2,1,0.0025788161077846448,0.015381150967867551,0.5714285714285714,-0.042639418113032956,-0.02804739859463523,100.0,1.0525221981341868,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[0, 1, 1, 0, 0]",2,2,2,0.019092859282063,0.02947453882811705,0.23809523809523808,0.017420031557326965,0.0157171291021716,100.0,1.1439061039463525,3,3,2.893806638175196,False,0.0
11,101,7001,cv_qrc,"[1, 0, 1, 0, 0]",2,2,2,0.03784793571084807,0.018422755152346017,0.047619047619047616,0.02194240534611236,0.017113481100814454,100.0,1.1629110958250788,3,3,2.893806638175196,False,0.0
