capacity,data_seed,degree,fdr_significant,interaction_order,max_statistic_significant,maximum_delay,measurement_seed,model,null_95_threshold,p_value,reservoir_seed,ridge_capacity,ridge_p_value,ridge_test_r2,selected_alpha,significant_capacity,squared_correlation,task_multi_index,test_r2
0.0,211,1,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-1.6827589883749994e-06,1e-10,0.0,0.0,[1],-1.6827589883749994e-06
0.0,211,1,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-1.6827589883749994e-06,1e-10,0.0,0.0,[1],-1.6827589883749994e-06
0.0,211,2,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.03054030484939574,1e-10,0.0,0.0,[2],-0.03054030484939574
0.0,211,2,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.03054030484939574,1e-10,0.0,0.0,[2],-0.03054030484939574
0.0,211,3,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.022014876292313135,1e-10,0.0,0.0,[3],-0.022014876292313135
0.0,211,3,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.022014876292313135,1e-10,0.0,0.0,[3],-0.022014876292313135
0.0,211,4,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.07914825358644073,1e-10,0.0,0.0,[4],-0.07914825358644073
0.0,211,4,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.07914825358644073,1e-10,0.0,0.0,[4],-0.07914825358644073
0.0,211,5,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.03868747710660725,1e-10,0.0,0.0,[5],-0.03868747710660725
0.0,211,5,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.03868747710660725,1e-10,0.0,0.0,[5],-0.03868747710660725
0.0,211,6,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.003346301110004557,1e-10,0.0,0.0,[6],-0.003346301110004557
0.0,211,6,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.003346301110004557,1e-10,0.0,0.0,[6],-0.003346301110004557
0.0,307,1,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.0061214937708158335,1e-10,0.0,0.0,[1],-0.0061214937708158335
0.0,307,1,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.0061214937708158335,1e-10,0.0,0.0,[1],-0.0061214937708158335
0.0,307,2,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.008092418806904034,1e-10,0.0,0.0,[2],-0.008092418806904034
0.0,307,2,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.008092418806904034,1e-10,0.0,0.0,[2],-0.008092418806904034
0.0,307,3,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.008679976304255765,1e-10,0.0,0.0,[3],-0.008679976304255765
0.0,307,3,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.008679976304255765,1e-10,0.0,0.0,[3],-0.008679976304255765
0.0,307,4,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.016324256655115388,1e-10,0.0,0.0,[4],-0.016324256655115388
0.0,307,4,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.016324256655115388,1e-10,0.0,0.0,[4],-0.016324256655115388
0.0,307,5,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.09206639509807024,1e-10,0.0,0.0,[5],-0.09206639509807024
0.0,307,5,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.09206639509807024,1e-10,0.0,0.0,[5],-0.09206639509807024
0.0,307,6,False,1,False,0,13001,identity,0.0,1.0,13,0.0,1.0,-0.034359586837747536,1e-10,0.0,0.0,[6],-0.034359586837747536
0.0,307,6,False,1,False,0,13001,identity,0.0,1.0,17,0.0,1.0,-0.034359586837747536,1e-10,0.0,0.0,[6],-0.034359586837747536
0.9999752831613353,307,5,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,13,0.9999774833421657,0.008333333333333333,0.9999774833421657,1e-10,0.9999752831613353,0.9999823833348674,[5],0.9999752831613353
0.9999752831613735,307,5,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,17,0.9999243478565952,0.008333333333333333,0.9999243478565952,1e-10,0.9999752831613735,0.9999823833348904,[5],0.9999752831613735
0.9999886910889414,211,5,True,1,True,0,13001,reservoir,0.0,0.008333333333333333,17,0.9999791966620368,0.008333333333333333,0.9999791966620368,1e-10,0.9999886910889414,0.9999893892301528,[5],0.9999886910889414
